SA2_MAINCODE_2016,Med_ag_pe_In_pe_hh_In_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_ps,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_w_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
101021007,25,49,49,395,599,594,1031,1086,1083,1700,1560,1582,300,250,250,1,0.8,0.8,2.8,2.3,2.3,0,3.4,3.5
101021008,20,38,37,474,830,812,1226,1731,1692,1910,1928,1928,216,310,300,1,0.8,0.8,3.1,2.6,2.6,6.5,2.2,2.5
101021009,24,37,36,718,840,837,1258,1406,1400,1767,1733,1733,288,280,280,1,0.9,0.9,2.7,2.1,2.1,7.8,3.3,3.4
101021010,24,36,35,780,885,883,1375,1437,1434,2000,1820,1842,275,270,270,1,0.9,0.9,2.5,2.2,2.2,7.9,4.5,4.6
101021011,22,40,40,907,1078,1076,2562,2475,2478,2500,2400,2405,390,380,383,1,0.8,0.8,3.4,2.9,2.9,5.1,2,2.1
101021012,22,36,36,697,1133,1118,1974,2500,2479,2600,2167,2167,337,373,370,0.9,0.8,0.8,3.3,2.9,2.9,6.5,1.2,1.4
101031013,28,48,48,537,578,577,1291,1046,1048,804,923,910,180,150,150,1,0.7,0.7,2.9,2.2,2.2,0,1.8,1.8
101031014,30,45,45,583,609,608,1212,999,1009,1300,1177,1186,245,220,225,0.8,0.7,0.7,2.5,2.2,2.2,3.8,1.3,1.4
101031015,43,48,48,417,638,634,959,1237,1228,1600,1560,1560,110,150,150,1,0.7,0.8,2.3,2.4,2.4,0,1.5,1.7
101031016,25,39,39,697,762,761,1224,1399,1397,1600,1500,1500,300,270,270,0.9,0.8,0.8,2.8,2.4,2.4,0,3,3
101041017,20,54,52,414,513,503,982,900,906,1559,1450,1452,250,265,260,1.1,0.7,0.7,3.3,2.1,2.2,11.9,1.4,2.2
101041018,23,55,54,432,526,521,1042,997,1000,1300,1517,1517,283,280,280,0.9,0.7,0.7,3,2.2,2.2,10.4,1.4,1.8
101041019,18,47,46,458,591,586,919,1064,1061,1512,1395,1400,210,270,270,1,0.8,0.8,2.9,2.3,2.3,6.6,2,2.2
101041020,23,51,50,396,499,496,1037,980,982,1408,1257,1278,250,200,200,1,0.8,0.8,3.2,2.3,2.4,10.5,3,3.2
101041021,17,54,53,443,600,596,1458,1045,1060,2440,1517,1517,295,270,270,1,0.7,0.7,3.6,2.2,2.2,9.8,1.2,1.4
101041022,0,64,65,0,487,537,0,725,849,0,0,0,0,0,0,0,0.5,0.5,0,1.5,1.4,0,0,0
101041023,23,53,51,361,493,486,672,871,851,1192,1400,1394,225,230,230,0.9,0.7,0.7,3.1,2.1,2.2,5.5,1.4,1.7
101041024,26,52,51,407,529,512,923,1024,1009,1560,1300,1300,170,185,180,1,0.8,0.8,3.5,2.3,2.4,12.7,3.1,4
101041025,23,54,54,491,566,565,1156,1012,1014,1365,1500,1500,280,270,270,0.9,0.7,0.7,2.8,2.1,2.1,9.2,1.5,1.7
101041026,27,55,54,374,509,502,825,917,912,1517,1343,1353,222,250,250,0.9,0.7,0.7,2.8,2.1,2.2,9.1,1.8,2.2
101041027,23,59,58,398,494,492,796,850,848,1279,1300,1300,218,230,230,1,0.7,0.7,2.9,2,2.1,10.2,1.7,2.1
101051539,25,41,40,492,631,627,1152,1164,1164,1608,1517,1517,240,260,260,0.9,0.7,0.7,3.1,2.3,2.4,6.7,2.1,2.3
101051540,20,47,47,518,603,602,1323,1201,1206,1733,1600,1600,250,200,200,0.9,0.8,0.8,3.2,2.5,2.5,7.2,2.2,2.4
101061541,20,42,41,490,734,728,1222,1478,1470,1975,1733,1763,270,300,300,0.9,0.7,0.8,3.2,2.5,2.5,7.1,2,2.3
101061542,25,43,42,642,926,921,1974,2066,2063,2000,2037,2024,250,250,250,0.8,0.8,0.8,2.9,2.8,2.8,6.1,1.9,2
101061543,18,41,40,442,538,535,848,976,967,1300,1300,1300,225,225,225,0.9,0.7,0.7,3,2.4,2.4,7.4,1.5,1.8
101061544,22,49,48,405,548,538,1018,962,965,867,1083,1040,195,155,160,0.9,0.7,0.7,3.1,2.2,2.3,6.8,1.4,1.7
102011028,24,41,41,619,764,761,2156,1863,1869,2167,2167,2167,500,428,430,0.9,0.8,0.8,3.5,2.8,2.8,0,1.5,1.6
102011029,21,48,47,517,643,641,1488,1409,1412,1746,2000,2000,370,380,380,1,0.8,0.8,3.5,2.5,2.6,5.7,1.5,1.6
102011030,22,46,46,454,688,682,1375,1444,1441,2000,1810,1850,230,250,250,1,0.8,0.8,3.1,2.6,2.6,8.8,2.9,3.1
102011031,25,49,49,537,611,609,1512,1269,1274,2058,2000,2000,350,360,360,0.9,0.7,0.7,3,2.4,2.5,3.6,1,1.1
102011032,26,40,40,566,656,653,1095,1204,1197,1733,1733,1733,320,335,331,0.9,0.8,0.8,2.7,2.2,2.2,7.7,2.8,3
102011033,21,35,35,229,718,703,1281,1830,1813,1880,1950,1950,363,400,400,0.9,0.8,0.8,3.1,3,3,5.2,2.1,2.3
102011034,22,47,47,575,571,571,1886,1080,1100,1625,1900,1899,380,340,340,1,0.8,0.8,3.4,2.4,2.4,6.4,1.6,1.7
102011035,20,39,39,505,670,665,1658,1551,1559,1700,1733,1733,355,360,360,1.1,0.8,0.8,3.5,2.8,2.8,8.8,2.2,2.5
102011036,22,39,39,554,668,666,1562,1669,1665,1900,1800,1800,350,375,370,0.9,0.8,0.8,3.5,2.9,2.9,11.5,1.6,1.9
102011037,25,44,44,575,646,645,1687,1398,1407,1717,1831,1820,395,375,375,0.8,0.8,0.8,2.5,2.5,2.5,0,1.7,1.8
102011038,22,43,42,485,665,660,1666,1395,1402,2167,1980,2000,390,385,388,0.9,0.8,0.8,3.1,2.6,2.6,7.9,1.9,2.1
102011039,21,42,42,575,756,753,2113,1748,1760,2334,2167,2167,450,450,450,1,0.8,0.8,3.5,2.6,2.6,10.4,1.4,1.6
102011040,24,47,46,471,554,551,1203,1067,1072,1799,1748,1750,360,350,350,1,0.8,0.8,3,2.3,2.3,8.6,3,3.2
102011041,23,41,40,667,760,758,2018,1847,1852,2383,2167,2167,420,420,420,0.9,0.8,0.8,3.6,2.8,2.8,6.1,1.5,1.6
102011042,21,48,47,478,533,531,1130,1035,1040,1733,1733,1733,340,340,340,1.1,0.8,0.8,3.1,2.2,2.2,10.7,2.5,2.9
102011043,18,42,42,435,581,576,1221,1229,1229,1625,1733,1733,370,350,350,1,0.8,0.8,3.4,2.5,2.5,12,2.1,2.5
102021044,20,42,41,501,586,583,1220,1248,1246,1933,1733,1733,340,350,350,1,0.8,0.8,3.2,2.5,2.6,8.6,2.5,2.8
102021045,18,35,34,527,552,550,1326,1239,1250,1603,1600,1600,360,353,355,1,0.8,0.8,3.7,2.8,2.9,9.4,2.9,3.6
102021046,21,46,45,458,522,518,1255,978,1005,1517,1560,1560,330,310,310,1,0.8,0.8,3.2,2.3,2.3,7.4,2.3,2.7
102021047,21,41,40,560,659,657,1675,1455,1466,1810,1755,1764,360,375,370,1,0.8,0.8,3.4,2.7,2.7,7.2,1.7,2
102021048,20,44,43,471,518,516,1196,1040,1051,1713,1517,1517,320,315,318,1,0.8,0.8,3.3,2.4,2.5,8.5,3.2,3.6
102021049,26,43,43,435,703,694,1531,1960,1942,1408,2245,2200,200,300,300,1,0.8,0.8,3.8,3,3,0,1.9,2
102021050,21,50,49,482,506,504,1343,959,977,1598,1519,1521,348,320,320,1,0.8,0.8,3.2,2.3,2.3,7.5,1.9,2.2
102021051,22,39,39,474,732,727,1666,1669,1669,2000,1759,1800,320,350,340,0.9,0.8,0.8,3.3,2.8,2.8,0,2.6,2.6
102021052,23,45,44,491,546,543,1321,1176,1186,1713,1600,1600,350,340,340,1,0.8,0.8,3.3,2.5,2.5,5.4,1.7,1.9
102021053,23,46,45,486,561,558,1033,981,984,2000,1747,1785,340,320,320,1,0.8,0.8,2.9,2.1,2.1,13.1,3.3,3.8
102021054,23,49,48,479,536,533,1138,961,971,1733,1690,1700,300,300,300,1,0.8,0.8,3,2.2,2.2,10,2.8,3.3
102021055,21,38,37,520,665,661,1708,1511,1516,1777,1800,1800,380,380,380,0.9,0.8,0.8,3.4,2.8,2.8,0,2.1,2.1
102021056,18,36,35,510,635,631,1827,1668,1678,2167,2015,2037,450,450,450,1,0.8,0.8,3.9,3,3.1,4.5,1.6,1.8
102021057,23,41,40,445,513,508,942,1067,1056,1733,1600,1603,300,310,310,1,0.8,0.8,3.2,2.4,2.5,10.9,3.3,3.9
103011058,22,37,36,518,640,635,1077,1245,1234,1625,1573,1578,275,275,275,1,0.7,0.8,3,2.3,2.4,6.5,1.7,2
103011059,18,37,35,470,682,672,1217,1506,1481,1733,1798,1785,300,320,310,1,0.8,0.8,3.4,2.8,2.8,8.7,2.1,2.7
103011060,32,46,46,529,657,653,1045,1372,1356,1500,1700,1696,200,180,180,0.9,0.8,0.8,3.1,2.6,2.6,0,1.9,1.9
103011061,22,45,45,350,606,596,1125,1211,1207,1500,1343,1349,250,210,210,0.9,0.7,0.7,2.9,2.3,2.4,7.5,1.9,2.2
103021062,22,45,41,408,588,553,913,1058,1030,867,900,900,160,125,150,1,0.7,0.8,3,2.3,2.4,10.3,1.8,3.3
103021063,23,48,46,426,520,508,884,947,938,1128,1192,1192,180,190,190,0.9,0.7,0.7,2.9,2.2,2.3,4.3,1.5,1.7
103021064,24,49,48,447,519,515,974,974,974,1196,1083,1083,175,165,165,0.9,0.7,0.7,2.6,2.3,2.3,5.7,2,2.2
103021065,22,45,43,460,581,567,1017,1075,1067,1083,1153,1148,180,175,175,0.9,0.7,0.8,2.9,2.3,2.4,4.4,1.9,2.2
103021066,27,51,51,438,494,493,1031,895,904,1029,888,910,165,135,135,0.9,0.7,0.7,2.8,2.2,2.2,7,1.2,1.4
103021067,19,41,39,419,598,579,987,1148,1131,1300,1300,1300,210,200,205,1,0.7,0.8,3.2,2.4,2.5,8.6,1.8,2.6
103021068,26,49,47,384,521,497,752,1027,981,867,1027,1000,128,110,120,0.9,0.7,0.8,2.7,2.3,2.4,10.3,1.5,2.7
103021069,20,44,43,491,583,579,1092,1098,1098,872,1000,1000,160,150,150,0.9,0.7,0.7,3,2.3,2.4,4.5,1.6,1.8
103031070,26,45,44,435,498,495,1010,913,919,1473,1300,1300,220,235,230,0.9,0.7,0.7,2.8,2.2,2.2,7.1,1.9,2.3
103031071,22,47,46,459,548,542,1071,1128,1123,1300,1517,1517,225,200,200,1,0.8,0.8,3.2,2.4,2.4,7.9,2.5,2.8
103031072,19,38,37,485,645,636,1289,1295,1295,1865,1760,1766,300,300,300,1,0.7,0.8,3.2,2.4,2.5,4.8,1.6,1.8
103031073,24,51,50,393,453,450,786,769,771,1361,1177,1192,235,190,190,1,0.7,0.7,2.9,2.1,2.2,7.1,2.4,2.7
103031074,22,46,45,419,509,499,1221,1050,1064,1404,1517,1517,240,200,200,1,0.8,0.8,3.1,2.4,2.4,5.6,2.1,2.4
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,19,43,42,504,625,620,1269,1225,1227,1350,1517,1500,230,220,220,1.1,0.7,0.8,3.2,2.4,2.5,7,1.5,1.7
103041077,21,42,41,446,600,589,1022,1074,1070,1394,1473,1472,240,250,250,1,0.7,0.7,3,2.2,2.2,8.7,1.7,2.2
103041078,19,35,34,515,751,738,1318,1608,1581,1733,1733,1733,280,320,319,0.9,0.8,0.8,3.3,2.6,2.7,6.9,1.3,1.7
103041079,18,42,42,540,697,693,1455,1484,1483,1517,1650,1647,200,200,200,1,0.8,0.8,3.5,2.7,2.7,3.1,1.8,1.8
104011080,22,45,43,432,503,496,966,916,921,1300,1300,1300,250,250,250,1,0.7,0.8,3.1,2.2,2.3,10.3,1.9,2.7
104011081,24,50,49,404,468,464,979,953,955,1257,1300,1300,243,240,240,1,0.8,0.8,3.2,2.4,2.5,9.7,3.5,3.9
104011082,24,56,55,392,472,469,1043,862,871,1636,1408,1430,280,285,280,1,0.7,0.7,3.2,2.1,2.2,10.5,1.5,2
104021083,19,45,44,471,530,529,1321,1044,1050,1474,1408,1408,318,300,300,1.1,0.8,0.8,4,2.4,2.5,14.7,3.3,3.7
104021084,21,44,42,467,562,556,1065,1042,1043,1690,1600,1603,288,300,296,1,0.8,0.8,3.1,2.3,2.4,12.4,2.9,3.6
104021085,26,46,45,452,567,561,1017,1009,1009,1703,1517,1517,275,300,300,0.9,0.8,0.8,2.6,2.2,2.2,9.3,3.6,4
104021086,23,44,43,477,594,590,1354,1291,1295,1517,1582,1582,355,300,300,0.9,0.9,0.9,3,2.7,2.8,6.3,3.8,4
104021087,22,52,52,372,477,473,875,817,821,1192,1083,1083,230,200,200,1,0.7,0.8,2.9,2.1,2.2,13.2,2.1,2.7
104021088,21,44,43,541,679,675,1625,1468,1473,2098,1733,1733,400,380,380,0.9,0.8,0.8,3.6,2.6,2.7,6.7,1.4,1.6
104021089,22,45,44,414,570,560,1071,1093,1092,1600,1600,1600,295,310,310,1,0.8,0.8,3.2,2.4,2.5,10.4,2.1,2.6
104021090,27,53,52,403,528,523,1068,998,1003,1473,1517,1517,297,280,280,0.9,0.8,0.8,3,2.2,2.2,4.8,2.1,2.2
104021091,21,45,44,444,532,528,1157,1053,1059,1780,1517,1560,315,310,310,1,0.8,0.8,3.4,2.4,2.5,11.2,3.7,4.1
105011092,27,43,35,409,797,606,931,1280,1109,990,867,894,110,69,100,1,0.7,0.8,3,2.2,2.5,13,1.5,6.6
105011093,24,38,36,456,756,705,1129,1610,1494,1300,1300,1300,165,156,160,0.9,0.7,0.7,3,2.3,2.4,6,1.8,2.5
105011094,23,49,43,417,605,537,868,1076,1009,823,904,867,175,100,150,0.9,0.7,0.7,3,2.1,2.4,9.3,1.2,3.6
105011095,21,46,42,443,679,629,892,1158,1100,1066,1000,1000,170,150,150,0.9,0.7,0.7,2.9,2.2,2.3,9.3,1.4,2.8
105011096,28,49,42,371,496,461,760,833,801,719,750,737,160,55,140,1,0.8,0.9,2.9,2,2.3,10,2.8,5
105021097,22,47,45,433,537,527,1029,958,965,986,950,953,200,180,190,1,0.7,0.7,2.9,2.1,2.2,8.5,1.7,2.3
105021098,28,45,39,373,631,497,924,1008,970,377,750,625,120,17,100,0.9,0.8,0.8,3,2.2,2.5,11.4,2.3,5.1
105031099,23,51,49,401,483,475,803,890,879,1040,887,906,175,150,152,0.9,0.7,0.7,2.9,2.2,2.3,5.9,1.6,2.1
105031100,21,40,37,463,716,673,1108,1398,1336,1394,1518,1517,250,260,260,0.9,0.7,0.8,3.1,2.5,2.6,8.1,1.8,3
105031101,21,39,36,521,719,700,1265,1339,1327,1603,1517,1517,285,270,275,1,0.7,0.8,3.1,2.3,2.4,6.9,1.6,2.3
105031102,20,38,34,481,717,682,1195,1307,1280,1300,1500,1452,260,273,265,1,0.7,0.8,3.3,2.4,2.6,10.4,1.7,3.4
105031103,23,44,42,506,694,687,1593,1484,1491,1482,1647,1638,215,200,200,0.9,0.8,0.8,3.2,2.7,2.8,5.5,1.8,2.1
105031104,23,48,45,415,560,538,888,1020,996,1083,1083,1083,175,150,160,1,0.7,0.7,2.9,2.3,2.4,9.4,1.5,2.6
105031105,20,46,42,479,614,589,1045,1095,1083,1139,1083,1100,210,156,185,0.9,0.7,0.8,3.1,2.3,2.5,7.9,1.3,2.8
105031106,25,48,42,423,507,491,913,946,939,1101,1083,1083,190,170,180,0.9,0.7,0.8,3,2.2,2.4,6.9,1.9,2.9
106011107,20,37,36,544,714,706,1604,1672,1668,2000,1820,1820,320,320,320,1,0.8,0.8,3.3,2.7,2.7,9.1,1.9,2.4
106011108,23,40,38,477,501,499,1134,1034,1043,1517,1473,1478,280,280,280,1,0.8,0.8,3.2,2.4,2.5,8.8,2.9,3.4
106011109,23,43,43,489,590,584,1264,1415,1407,1733,1678,1690,270,270,270,1,0.8,0.8,3.3,2.7,2.7,4.6,3.7,3.7
