SA2_MAINCODE_2016,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,NsQ_PgDL_Ind_M,NsQ_PgDL_Ind_F,NsQ_PgDL_Ind_P,NsQ_PgDL_No_Ind_M,NsQ_PgDL_No_Ind_F,NsQ_PgDL_No_Ind_P,NsQ_PgDL_IndSt_nsM,NsQ_PgDL_IndSt_nsF,NsQ_PgDL_IndSt_nsP,NsQ_PgDL_TotM,NsQ_PgDL_TotF,NsQ_PgDL_TotP,NsQ_GD_GCL_Ind_M,NsQ_GD_GCL_Ind_F,NsQ_GD_GCL_Ind_P,NsQ_GD_GCL_No_In_M,NsQ_GD_GCL_No_In_F,NsQ_GD_GCL_No_In_P,NsQ_GD_GCL_In_st_nsM,NsQ_GD_GCL_In_st_nsF,NsQ_GD_GCL_In_st_nsP,NsQ_GD_GCL_TotM,NsQ_GD_GCL_TotF,NsQ_GD_GCL_TotP,NsQ_BDL_Ind_M,NsQ_BDL_Ind_F,NsQ_BDL_Ind_P,NsQ_BDL_No_Ind_M,NsQ_BDL_No_Ind_F,NsQ_BDL_No_Ind_P,NsQ_BDL_IndSt_nsM,NsQ_BDL_IndSt_nsF,NsQ_BDL_IndSt_nsP,NsQ_BDL_TotM,NsQ_BDL_TotF,NsQ_BDL_TotP,NsQ_AD_DL_Ind_M,NsQ_AD_DL_Ind_F,NsQ_AD_DL_Ind_P,NsQ_AD_DL_No_In_M,NsQ_AD_DL_No_In_F,NsQ_AD_DL_No_In_P,NsQ_AD_DL_In_st_nsM,NsQ_AD_DL_In_st_nsF,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF
101021007,24,24,43,1399,1406,2797,192,187,377,1607,1614,3222,6,12,18,867,746,1614,11,4,9,888,765,1646,0,0,4,40,25,69,0,0,0,40,31,73,11,13,20,904,778,1685,11,8,13,922,793,1721,16,12,24,475,613,1084,15,10,20,499,633,1133,0,0,0,20,18,35,171,170,341,184,185,376,0,0,20,4.4,3.2,4.1,0,0,0,4.3,3.9,4.2,40.7,52,45.5,64.6,55.2,60.1,5.6,4.3,3.5,57.4,49.2,53.3,22.2,48,40.9,62,52.9,57.6,5.6,2.1,2.4,55.3,47.5,51,0,0,3,135,180,320,0,0,0,137,189,323,8,11,20,713,555,1275,7,3,9,732,567,1300,3,0,0,146,93,238,0,0,0,144,95,243,0,0,3,74,97,171,0,0,0,72,95,170,0,0,0,22,58,75,0,0,0,22,58,77,0,0,3,174,243,410,0,0,0,172,240,413,0,0,0,113,157,271,0,0,0,117,160,274,0,0,0,10,21,31,0,0
101021008,139,181,326,2933,3008,5941,163,195,357,3236,3388,6623,63,92,157,2081,1917,3998,18,21,32,2154,2029,4184,9,10,24,92,84,182,3,0,4,104,101,208,70,109,182,2175,2003,4179,14,21,38,2263,2129,4392,58,73,135,717,968,1686,5,12,22,789,1053,1841,5,7,10,36,36,77,141,163,298,183,207,387,12.9,9.2,13.2,4.2,4.2,4.4,21.4,0,10.5,4.6,4.7,4.7,52.6,57.7,55.7,74.3,66.6,70.3,8.8,10.7,10.6,70,62.8,66.3,47.4,48.7,48,71.1,63.8,67.3,11.3,10.7,8.9,66.6,59.9,63.2,12,37,46,460,688,1147,3,3,6,473,725,1202,44,51,97,1582,1217,2805,5,12,20,1636,1276,2920,0,3,3,85,54,139,0,3,3,85,60,141,0,0,3,107,83,188,0,0,0,111,86,197,0,4,4,49,76,127,0,0,0,49,83,127,3,4,9,219,351,575,0,0,0,226,355,584,3,10,20,207,321,533,3,4,3,218,337,553,0,5,5,26,45,67,0,3
101021009,98,128,229,4097,4142,8238,353,349,704,4545,4624,9169,65,81,149,2858,2562,5424,22,13,33,2947,2659,5612,4,14,18,176,114,293,0,0,0,185,124,306,69,92,163,3040,2678,5720,22,13,39,3127,2790,5918,27,35,58,1020,1419,2435,24,41,63,1067,1492,2558,3,3,4,38,45,80,306,294,607,349,347,694,5.8,15.2,11,5.8,4.3,5.1,0,0,0,5.9,4.4,5.2,69.7,70.8,72.4,74.2,64.7,69.5,6.3,3.7,5.5,68.8,60.3,64.5,65.7,62.3,66.2,69.7,61.9,65.9,6.3,3.7,4.7,64.9,57.4,61.2,18,42,59,679,883,1559,7,5,5,709,923,1631,43,43,85,2138,1649,3785,14,10,28,2197,1701,3901,3,0,3,123,65,185,0,0,0,123,65,184,0,0,3,233,222,459,0,0,0,236,226,464,0,3,3,69,140,212,0,0,0,69,141,215,6,13,15,544,717,1260,5,4,10,559,726,1281,8,12,14,350,432,785,0,4,3,352,447,805,0,9,7,39,69,105,0,0
101021010,62,51,114,1849,1801,3650,118,105,225,2025,1955,3981,42,27,74,1353,1206,2559,7,4,18,1407,1240,2647,3,5,8,72,62,132,0,0,0,70,68,140,49,35,82,1423,1270,2691,10,4,18,1476,1307,2788,9,18,26,405,506,917,3,7,9,420,534,951,0,0,0,17,26,45,107,91,196,130,113,246,6.1,14.3,9.8,5.1,4.9,4.9,0,0,0,4.7,5.2,5,84.5,66,75.9,77.1,70.5,73.7,8.3,3.9,8.1,72.9,66.9,70,72.4,50.9,68.5,73.3,66.9,70.1,5.8,3.9,8.1,69.4,63.5,66.4,16,19,32,342,410,751,0,0,0,353,424,781,29,12,42,1000,786,1786,7,3,11,1034,802,1837,0,0,0,46,30,76,0,0,0,46,30,76,0,0,3,161,124,282,0,0,0,163,124,284,0,4,4,32,57,87,0,0,0,31,57,89,4,11,9,273,360,633,0,0,0,272,371,645,6,3,13,170,198,370,0,0,0,181,207,384,0,3,4,20,34,49,0,0
101021011,106,98,204,5946,5893,11842,723,609,1328,6772,6599,13377,75,70,142,4430,4165,8590,42,33,76,4541,4269,8814,9,4,11,131,120,249,3,0,3,144,120,265,84,72,155,4560,4280,8843,48,33,79,4685,4392,9078,22,28,48,1368,1591,2955,15,19,35,1405,1628,3032,3,3,6,27,20,47,656,552,1213,684,583,1264,10.7,5.6,7.1,2.9,2.8,2.8,6.3,0,3.8,3.1,2.7,2.9,77.1,69.9,74.2,76.6,72.7,74.7,6.7,5.5,6,69.2,66.5,67.9,68.8,68,67.9,74.4,70.7,72.5,5.8,5.5,5.7,67,64.7,65.9,20,36,54,1200,1633,2833,13,9,22,1229,1684,2913,54,34,90,3196,2497,5687,22,21,50,3275,2550,5824,0,0,0,294,172,472,3,0,3,299,176,473,3,4,7,487,419,904,6,3,7,495,420,921,0,0,0,172,285,463,0,0,0,179,290,470,12,22,32,830,1198,2028,8,11,18,844,1231,2081,16,16,29,613,822,1431,4,7,8,627,835,1464,0,0,0,30,93,126,0,3
101021012,98,135,231,4487,4606,9092,212,192,406,4799,4931,9725,72,67,138,3553,3405,6956,15,15,28,3641,3487,7125,6,14,19,124,114,240,3,0,3,132,123,254,71,82,158,3676,3515,7192,20,15,32,3771,3615,7386,25,47,73,792,1058,1848,3,10,15,823,1119,1939,3,3,9,17,29,48,183,170,354,207,200,406,8.5,17.1,12,3.4,3.2,3.3,15,0,9.4,3.5,3.4,3.4,71.7,62.1,65.8,82,76.4,79.1,9.7,7.7,8,78.5,73.3,75.9,72.7,50.8,57.5,79.2,74,76.5,7.3,7.7,7,75.8,70.7,73.2,19,33,50,1301,1460,2763,5,11,19,1329,1502,2831,49,34,84,2220,1915,4141,10,7,16,2283,1955,4241,3,0,3,117,82,204,0,0,0,124,82,203,0,3,6,453,276,727,3,0,3,454,281,737,0,5,3,134,195,327,0,0,0,135,194,328,4,11,18,605,847,1456,3,3,8,614,865,1483,6,15,18,500,580,1077,0,0,0,508,588,1092,0,9,8,23,61,85,0,0
101031013,19,15,32,926,889,1815,65,74,141,1014,975,1991,12,7,14,581,463,1047,3,0,3,591,470,1067,3,0,0,25,21,47,0,0,0,25,21,50,12,6,17,601,489,1093,3,0,3,619,494,1117,9,8,17,309,389,701,3,8,8,322,400,724,0,0,0,12,12,24,60,68,126,73,75,147,25,0,0,4.2,4.3,4.3,0,0,0,4,4.3,4.5,57.1,42.9,50,65.2,54.9,60.1,4.5,0,2.2,61,51,56.2,57.1,50,41.2,63,52,57.6,4.5,0,2.2,58.3,48.5,53.7,0,0,3,62,95,160,0,0,0,64,100,164,11,3,10,508,363,867,3,0,3,517,372,890,0,0,3,60,27,85,0,0,3,62,29,94,0,0,0,15,7,23,0,0,0,11,7,21,0,0,0,10,10,16,0,0,0,10,10,16,0,0,0,59,103,159,0,0,0,59,107,162,0,4,4,42,85,131,0,0,0,42,86,131,0,0,0,10,19,30,0,0
101031014,100,67,171,2492,2532,5026,224,255,481,2820,2859,5678,39,31,78,1417,1381,2797,15,11,26,1476,1424,2901,9,3,11,73,63,134,0,0,0,79,61,143,51,40,86,1486,1440,2932,18,11,27,1553,1493,3042,48,31,79,962,1050,2012,16,16,37,1031,1096,2128,0,4,4,38,43,80,192,224,413,230,271,499,17.6,7.5,12.8,4.9,4.4,4.6,0,0,0,5.1,4.1,4.7,51.5,53.3,50.9,59.8,56.8,58.4,8,4.4,5.7,55.2,52.2,53.7,39.4,41.3,46.2,57,54.5,55.7,6.6,4.4,5.5,52.5,49.8,51.2,6,5,18,297,333,630,0,0,3,306,336,645,34,25,62,1102,1036,2141,12,6,24,1145,1070,2221,3,0,3,130,50,177,0,0,0,127,57,185,0,3,6,56,61,114,0,0,0,56,59,120,0,3,5,23,56,80,0,0,0,20,61,82,0,0,4,189,316,508,0,0,3,192,316,510,0,6,12,160,246,400,3,3,4,164,256,418,0,0,3,24,45,70,0,3
101031015,27,21,53,1249,1178,2427,120,120,244,1399,1325,2724,16,15,31,813,715,1524,5,4,10,831,736,1570,0,0,3,31,24,54,0,0,0,36,24,60,18,13,36,840,740,1583,5,4,10,870,762,1627,9,11,21,394,434,828,3,6,7,410,447,854,0,0,0,9,6,22,109,112,218,125,116,244,0,0,8.3,3.7,3.2,3.4,0,0,0,4.1,3.1,3.7,66.7,54.2,63.2,67.6,62.7,65.1,4.3,3.3,4.3,61.9,57.5,59.7,59.3,62.5,54.4,65.4,60.6,62.6,4.3,3.3,4.3,59.1,55.5,57.6,3,0,3,129,160,287,0,0,0,129,162,293,14,7,23,671,551,1219,4,4,10,692,566,1256,4,0,3,107,45,157,0,0,3,113,47,161,0,0,0,39,38,73,0,0,0,41,38,74,0,0,0,13,19,34,0,0,0,13,19,34,3,3,4,131,183,311,0,0,0,135,186,316,0,0,0,86,150,236,0,3,3,89,153,234,0,0,0,10,23,35,0,0
101031016,35,26,64,2733,2409,5144,291,207,501,3062,2645,5709,24,18,39,2046,1783,3828,22,12,31,2093,1806,3899,3,0,3,42,31,73,0,0,0,44,31,73,25,18,44,2090,1814,3902,22,12,31,2135,1838,3974,9,10,19,603,577,1178,5,8,9,621,592,1209,0,0,0,39,25,65,268,190,463,305,216,523,12,0,6.8,2,1.7,1.9,0,0,0,2.1,1.7,1.8,73.5,64.3,69.8,76.5,75.1,75.8,7.5,5.7,6.2,69.7,69.5,69.6,70.6,64.3,61.9,74.9,73.8,74.4,7.5,5.7,6.2,68.4,68.3,68.3,4,0,4,213,262,475,0,0,0,219,263,480,20,18,38,1821,1504,3326,20,10,30,1859,1532,3386,0,0,4,187,103,284,3,0,5,189,105,290,0,0,3,83,90,175,0,0,0,86,97,178,0,0,3,34,64,98,0,0,0,40,66,99,0,5,5,284,432,715,3,0,8,289,433,724,3,0,8,226,334,555,0,3,3,225,338,561,0,0,0,27,60,85,0,0
